"TokenStatus";"TokenBlocked";"CardStatus";"VisaCard121Status";"VisaCard121StatusExplanation";"Actions121"
"INACTIVE";"FALSE";"CARD_OK";"Issued";;"pause,reissue"
"INACTIVE";"FALSE";"CARD_BLOCKED";"Blocked";"Visa blocked card";"reissue"
"INACTIVE";"FALSE";"SUSPECTED_FRAUD";"Suspected Fraud";"Card temporarily blocked for investigation";"pause,reissue"
"INACTIVE";"FALSE";"CARD_CLOSED_DUE_TO_FRAUD";"Blocked";"Visa closed card due to fraud";"reissue"
"INACTIVE";"FALSE";"CARD_NO_RENEWAL";"Issued";;"pause,reissue"
"INACTIVE";"FALSE";"CARD_LOST";"Blocked";"Visa marked card as lost";"reissue"
"INACTIVE";"FALSE";"CARD_STOLEN";"Blocked";"Visa marked card as stolen";"reissue"
"INACTIVE";"FALSE";"CARD_CLOSED";"Blocked";"Visa marked card as closed";"reissue"
"INACTIVE";"FALSE";"CARD_EXPIRED";"Blocked";"Card has expired";"reissue"
"INACTIVE";"TRUE";"CARD_OK";"Paused";"Card not yet activated";"unpause,reissue"
"INACTIVE";"TRUE";"CARD_BLOCKED";"Blocked";"Visa blocked card";"reissue"
"INACTIVE";"TRUE";"SUSPECTED_FRAUD";"Suspected Fraud";"Card temporarily blocked for investigation";"reissue"
"INACTIVE";"TRUE";"CARD_CLOSED_DUE_TO_FRAUD";"Blocked";"Visa closed card due to fraud";"reissue"
"INACTIVE";"TRUE";"CARD_NO_RENEWAL";"Paused";"Card not yet activated";"unpause,reissue"
"INACTIVE";"TRUE";"CARD_LOST";"Blocked";"Visa marked card as lost";"reissue"
"INACTIVE";"TRUE";"CARD_STOLEN";"Blocked";"Visa marked card as stolen";"reissue"
"INACTIVE";"TRUE";"CARD_CLOSED";"Blocked";"Visa marked card as closed";"reissue"
"INACTIVE";"TRUE";"CARD_EXPIRED";"Blocked";"Card has expired";"reissue"
"ACTIVE";"FALSE";"CARD_OK";"Active";;"pause,reissue"
"ACTIVE";"FALSE";"CARD_BLOCKED";"Blocked";"Visa blocked card";"reissue"
"ACTIVE";"FALSE";"SUSPECTED_FRAUD";"Suspected Fraud";"Card temporarily blocked for investigation";"pause,reissue"
"ACTIVE";"FALSE";"CARD_CLOSED_DUE_TO_FRAUD";"Blocked";"Visa closed card due to fraud";"reissue"
"ACTIVE";"FALSE";"CARD_NO_RENEWAL";"Active";;"pause,reissue"
"ACTIVE";"FALSE";"CARD_LOST";"Blocked";"Visa marked card as lost";"reissue"
"ACTIVE";"FALSE";"CARD_STOLEN";"Blocked";"Visa marked card as stolen";"reissue"
"ACTIVE";"FALSE";"CARD_CLOSED";"Blocked";"Visa marked card as closed";"reissue"
"ACTIVE";"FALSE";"CARD_EXPIRED";"Blocked";"Card has expired";"reissue"
"ACTIVE";"TRUE";"CARD_OK";"Paused";;"unpause,reissue"
"ACTIVE";"TRUE";"CARD_BLOCKED";"Blocked";"Visa blocked card";"reissue"
"ACTIVE";"TRUE";"SUSPECTED_FRAUD";"Suspected Fraud";"Card temporarily blocked for investigation";"reissue"
"ACTIVE";"TRUE";"CARD_CLOSED_DUE_TO_FRAUD";"Blocked";"Visa closed card due to fraud";"reissue"
"ACTIVE";"TRUE";"CARD_NO_RENEWAL";"Paused";;"unpause,reissue"
"ACTIVE";"TRUE";"CARD_LOST";"Blocked";"Visa marked card as lost";"reissue"
"ACTIVE";"TRUE";"CARD_STOLEN";"Blocked";"Visa marked card as stolen";"reissue"
"ACTIVE";"TRUE";"CARD_CLOSED";"Blocked";"Visa marked card as closed";"reissue"
"ACTIVE";"TRUE";"CARD_EXPIRED";"Blocked";"Card has expired";"reissue"
"SUBSTITUTED";"FALSE";"CARD_OK";"Substituted";"Card has been substituted due to re-issue";
"SUBSTITUTED";"FALSE";"CARD_BLOCKED";"Substituted";"Card has been substituted due to re-issue";
"SUBSTITUTED";"FALSE";"SUSPECTED_FRAUD";"Substituted";"Card has been substituted due to re-issue";
"SUBSTITUTED";"FALSE";"CARD_CLOSED_DUE_TO_FRAUD";"Substituted";"Card has been substituted due to re-issue";
"SUBSTITUTED";"FALSE";"CARD_NO_RENEWAL";"Substituted";"Card has been substituted due to re-issue";
"SUBSTITUTED";"FALSE";"CARD_LOST";"Substituted";"Card has been substituted due to re-issue";
"SUBSTITUTED";"FALSE";"CARD_STOLEN";"Substituted";"Card has been substituted due to re-issue";
"SUBSTITUTED";"FALSE";"CARD_CLOSED";"Substituted";"Card has been substituted due to re-issue";
"SUBSTITUTED";"FALSE";"CARD_EXPIRED";"Substituted";"Card has been substituted due to re-issue";
"SUBSTITUTED";"FALSE";"";"Substituted";"Card has been substituted due to re-issue";
